cedula,constante,BM2,BM2orig,rmo_mayor_venc_dispromax,rmo_promed_venc_dispromax,Hombre,DR_nro_cargas,Edad,salario,Primaria,Secundaria,Universitaria,Sindato_educ,policia,cabo2do,cabo1ero,sgto_y_subof,oficiales,pensionadojubilado,otrasprofesiones,casado,divorciado,separado,soltero,union_libre,viudo,consumo,vivienda,micro,rmo_monto_entregado,rmo_plazo,producto,SaldosHoyXVCONS,SaldosHoyVencCONS,SaldosHoyCastCONS,SaldosHoyDemCONS,SaldosHoyXVVIV,SaldosHoyVencVIV,SaldosHoyCastVIV,SaldosHoyDemVIV,SaldosHoyXVMIC,SaldosHoyVencMIC,SaldosHoyCastMIC,SaldosHoyDemMIC,SaldosHoyXVTC,SaldosHoyVencTC,SaldosHoyCastTC,SaldosHoyDemTC,SaldosHoyXVSS,SaldosHoyVencSS,SaldosHoyCastSS,SaldosHoyDemSS,NroTCActivasHoy,NroCredConsumoHoy,SaldosFinancieroHoy,SaldosFinanciero3M,CuotasFinancieroHoy,CuotasTCHoy,CuotasSSHoy,NroOpFinancieroHoy,NroOpFinanciero12M,EstCartBancosAlDia,EstCartBancos>30castodem,EstCartBancosHis>30castodem,EstCartCoopRegHoy,EstCartCoopReg>30castodem,EstCartCoopregHis>30castodem,EstCartCoopNoRegHoy,EstCartCoopNoReg>30castodem,EstCartHisCoopNoReg>30ocastodem,EstCartOtrIFISHoy,EstCartOtrIFIS>30castodem,EstCartHisOtrIFIS>30castodem,EstCartSSAlDia,EstCartSSMora>30castodem,EstCartHisSS>30castodem,EstCartBancosAlDiatiene,EstCartBancos>30castodemtiene,EstCartBancosHis>30castodemtiene,EstCartCoopRegHoytiene,EstCartCoopReg>30castodemtiene,EstCartCoopregHis>30castodemtiene,EstCartCoopNoRegHoytiene,EstCartCoopNoReg>30castodemtiene,EstCartHisCoopNoReg>30ocastodemtiene,EstCartOtrIFISHoytiene,EstCartOtrIFIS>30castodemtiene,EstCartHisOtrIFIS>30castodemtiene,EstCartSSAlDiatiene,EstCartSSMora>30castodemtiene,EstCartHisSS>30castodemtiene,Tieneretrasohoy,tieneretrasohis,tieneretraso,tienessaldovencidohoy,salariomas1000,decil,PRE_1,saldo_tot31122012,saldo_ven31122012
A1,1,1,1,14,6,1,0,35,1028.46,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,5000,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,decil10,0.94962,0,0
A2,1,1,1,14,6,1,1,32,245.49,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,6600,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5645.2,0,0,72.71,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,decil1,0.74924,0,0
A3,1,1,1,9,3,1,0,28,566.68,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2300,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil4,0.87732,0,0
A4,1,1,1,10,3,1,2,33,441.26,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil3,0.84859,0,0
A5,1,1,1,10,2,1,2,29,617.49,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil3,0.85911,0,0
A6,1,1,1,8,1,1,0,27,427.99,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,500,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355.75,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,decil2,0.83208,0,0
A7,1,1,1,10,3,1,2,29,395.1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,700,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3884.17,0,0,97.08,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,decil2,0.83091,0,0
A8,1,1,1,10,3,1,0,28,831.18,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10260.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil9,0.92201,0,0
A9,1,1,1,9,5,1,2,33,469.12,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil5,0.88668,0,0
A10,1,1,1,9,6,1,0,33,403.28,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,305.46,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil8,0.91922,0,0
A11,1,1,1,3,1,1,3,44,666.72,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,35000,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil1,0.50021,0,0
A12,1,1,1,14,6,1,1,38,567.26,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil3,0.85278,0,0
A13,1,1,1,10,3,0,0,24,150.76,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,500,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil10,0.93273,0,0
A14,1,1,1,6,1,1,3,27,70,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,250,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.76,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,decil2,0.8215,0,0
A15,1,1,1,14,5,1,1,26,616.09,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,730,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil9,0.92074,0,0
A16,1,1,1,14,3,1,2,32,183.56,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,720,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,decil3,0.83867,0,0
